,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
40,RT @Uverse: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B> the <U+2744><U+FE0F> goodbye <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> + catch #IceAge Collision Course OnDemand. https://t.co/jzwn0xrX8j https://t.co/WVs9FZcuTm,FALSE,0,NA,10/15/2016 11:57,FALSE,NA,7.87261E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jamesbarca10,7,TRUE,FALSE,NA,NA
41,RT @Uverse: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B> the <U+2744><U+FE0F> goodbye <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> + catch #IceAge Collision Course OnDemand. https://t.co/jzwn0xrX8j https://t.co/WVs9FZcuTm,FALSE,0,NA,10/15/2016 9:16,FALSE,NA,7.87221E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JESSIEJCENTRE,7,TRUE,FALSE,NA,NA
42,RT @Uverse: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B> the <U+2744><U+FE0F> goodbye <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> + catch #IceAge Collision Course OnDemand. https://t.co/jzwn0xrX8j https://t.co/WVs9FZcuTm,FALSE,0,NA,10/15/2016 7:26,FALSE,NA,7.87193E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LyseL62,7,TRUE,FALSE,NA,NA
43,@Uverse so u move @LogoTV to ur 2nd to highest tier package &amp; don't email about the change. It top that off...u still don't have it in HD! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>,FALSE,0,Uverse,10/15/2016 5:04,FALSE,NA,7.87157E+17,398037232,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jcd110681,0,FALSE,FALSE,NA,NA
44,RT @Uverse: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B> the <U+2744><U+FE0F> goodbye <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> + catch #IceAge Collision Course OnDemand. https://t.co/jzwn0xrX8j https://t.co/WVs9FZcuTm,FALSE,0,NA,10/15/2016 1:04,FALSE,NA,7.87097E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IceAgeFanpage,7,TRUE,FALSE,NA,NA
45,RT @Uverse: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B> the <U+2744><U+FE0F> goodbye <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> + catch #IceAge Collision Course OnDemand. https://t.co/jzwn0xrX8j https://t.co/WVs9FZcuTm,FALSE,0,NA,10/15/2016 1:03,FALSE,NA,7.87097E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",IceAge,7,TRUE,FALSE,NA,NA
46,RT @Uverse: I ain't afraid of no <ed><U+00A0><U+00BD><ed><U+00B1><U+00BB>. Get #Ghostbusters + all your favorite classics On Demand now! https://t.co/j8PC2esGdi https://t.co/SuJB…,FALSE,0,NA,10/14/2016 22:34,FALSE,NA,7.87059E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TitusMcTerry,2,TRUE,FALSE,NA,NA
47,RT @Uverse: I ain't afraid of no <ed><U+00A0><U+00BD><ed><U+00B1><U+00BB>. Get #Ghostbusters + all your favorite classics On Demand now! https://t.co/j8PC2esGdi https://t.co/SuJB…,FALSE,0,NA,10/14/2016 22:30,FALSE,NA,7.87058E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",PrimeComms,2,TRUE,FALSE,NA,NA
48,"RT @emilys8988: @GetSpectrum seriously, $112 to $155 is insane. @Uverse, you have any specials????",FALSE,0,NA,10/14/2016 17:14,FALSE,NA,7.86978E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WTF_TWC,1,TRUE,FALSE,NA,NA
49,"@GetSpectrum seriously, $112 to $155 is insane. @Uverse, you have any specials????",FALSE,1,emilys8988,10/14/2016 13:00,FALSE,7.86914E+17,7.86915E+17,308272705,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",emilys8988,1,FALSE,FALSE,NA,NA
