,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
30,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 1:55,FALSE,NA,7.87834E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JuanCLx,20,TRUE,FALSE,NA,NA
31,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 1:36,FALSE,NA,7.8783E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RR44750307,20,TRUE,FALSE,NA,NA
32,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 1:36,FALSE,NA,7.8783E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MegaRams12,20,TRUE,FALSE,NA,NA
33,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 1:05,FALSE,NA,7.87822E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",katerickey,20,TRUE,FALSE,NA,NA
34,@dallascowboys @DIRECTV Way to go Boys!,FALSE,0,dallascowboys,10/17/2016 0:56,FALSE,7.8767E+17,7.87819E+17,8824902,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",famtoyota,0,FALSE,FALSE,NA,NA
35,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 0:37,FALSE,NA,7.87815E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",noah_corbitt,20,TRUE,FALSE,NA,NA
36,RT @tonyromo: I wanna thank @DIRECTV for allowing me to show off my true self.  ;)  embarrassing is an understatement http://t.co/F0NniFESlL,FALSE,0,NA,10/17/2016 0:28,FALSE,NA,7.87813E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Wizards_4life,5265,TRUE,FALSE,NA,NA
37,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 0:22,FALSE,NA,7.87811E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",IRSBYGOD2,20,TRUE,FALSE,NA,NA
38,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 0:21,FALSE,NA,7.87811E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RgSebi,20,TRUE,FALSE,NA,NA
39,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/16/2016 23:56,FALSE,NA,7.87804E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",leighaa35,20,TRUE,FALSE,NA,NA
